date,hicp_index,region
1996-01-01,70.97,EA19
1996-02-01,71.29,EA19
1996-03-01,71.54,EA19
1996-04-01,71.66,EA19
1996-05-01,71.83,EA19
1996-06-01,71.84,EA19
1996-07-01,71.84,EA19
1996-08-01,71.8,EA19
1996-09-01,71.93,EA19
1996-10-01,72.0,EA19
1996-11-01,72.01,EA19
1996-12-01,72.19,EA19
1997-01-01,72.42,EA19
1997-02-01,72.59,EA19
1997-03-01,72.65,EA19
1997-04-01,72.6,EA19
1997-05-01,72.8,EA19
1997-06-01,72.83,EA19
1997-07-01,72.9,EA19
1997-08-01,73.02,EA19
1997-09-01,73.07,EA19
1997-10-01,73.09,EA19
1997-11-01,73.18,EA19
1997-12-01,73.26,EA19
1998-01-01,73.2,EA19
1998-02-01,73.4,EA19
1998-03-01,73.46,EA19
1998-04-01,73.61,EA19
1998-05-01,73.76,EA19
1998-06-01,73.8,EA19
1998-07-01,73.83,EA19
1998-08-01,73.85,EA19
1998-09-01,73.79,EA19
1998-10-01,73.77,EA19
1998-11-01,73.77,EA19
1998-12-01,73.81,EA19
1999-01-01,73.76,EA19
1999-02-01,73.94,EA19
1999-03-01,74.15,EA19
1999-04-01,74.4,EA19
1999-05-01,74.45,EA19
1999-06-01,74.45,EA19
1999-07-01,74.58,EA19
1999-08-01,74.67,EA19
1999-09-01,74.71,EA19
1999-10-01,74.74,EA19
1999-11-01,74.84,EA19
1999-12-01,75.09,EA19
2000-01-01,75.13,EA19
2000-02-01,75.37,EA19
2000-03-01,75.6,EA19
2000-04-01,75.67,EA19
2000-05-01,75.76,EA19
2000-06-01,76.04,EA19
2000-07-01,76.14,EA19
2000-08-01,76.2,EA19
2000-09-01,76.5,EA19
2000-10-01,76.52,EA19
2000-11-01,76.68,EA19
2000-12-01,76.96,EA19
2001-01-01,76.63,EA19
2001-02-01,76.86,EA19
2001-03-01,77.27,EA19
2001-04-01,77.73,EA19
2001-05-01,78.1,EA19
2001-06-01,78.21,EA19
2001-07-01,78.03,EA19
2001-08-01,77.97,EA19
2001-09-01,78.18,EA19
2001-10-01,78.24,EA19
2001-11-01,78.19,EA19
2001-12-01,78.54,EA19
2002-01-01,78.63,EA19
2002-02-01,78.76,EA19
2002-03-01,79.21,EA19
2002-04-01,79.56,EA19
2002-05-01,79.71,EA19
2002-06-01,79.67,EA19
2002-07-01,79.59,EA19
2002-08-01,79.64,EA19
2002-09-01,79.84,EA19
2002-10-01,80.03,EA19
2002-11-01,79.97,EA19
2002-12-01,80.36,EA19
2003-01-01,80.3,EA19
2003-02-01,80.62,EA19
2003-03-01,81.08,EA19
2003-04-01,81.21,EA19
2003-05-01,81.15,EA19
2003-06-01,81.25,EA19
2003-07-01,81.13,EA19
2003-08-01,81.25,EA19
2003-09-01,81.54,EA19
2003-10-01,81.66,EA19
2003-11-01,81.7,EA19
2003-12-01,81.95,EA19
2004-01-01,81.75,EA19
2004-02-01,81.94,EA19
