geo,year,value
FR,1975-01-01,288049.5
FR,1976-01-01,331012.5
FR,1977-01-01,355596.4
FR,1978-01-01,394484.3
FR,1979-01-01,443872.1
FR,1980-01-01,500064.0
FR,1981-01-01,548132.2
FR,1982-01-01,590815.4
FR,1983-01-01,622888.3
FR,1984-01-01,667733.0
FR,1985-01-01,723609.3
FR,1986-01-01,779175.7
FR,1987-01-01,803521.4
FR,1988-01-01,855722.8
FR,1989-01-01,923514.9
FR,1990-01-01,990441.3
DE,1991-01-01,1517932.9
FR,1991-01-01,1018584.6
DE,1992-01-01,1655317.2
FR,1992-01-01,1074162.7
DE,1993-01-01,1774986.2
FR,1993-01-01,1122160.5
DE,1994-01-01,1867918.1
FR,1994-01-01,1168854.1
EA19,2021-01-01,12555194.4
FR,2021-01-01,2508102.3
EA19,2022-01-01,13655302.9
FR,2022-01-01,2653997.2
EA19,2023-01-01,14526703.1
EA19,2024-01-01,15071879.9
