region,year,population
DE,1960,55257088
EA19,1960,263140292
DE,1961,55958321
DE,1962,56589148
DE,1963,57247246
DE,1964,57864509
DE,1965,58587451
EA19,1965,275430651
DE,1966,59296591
DE,1967,59792934
DE,1968,59948474
DE,1969,60463033
DE,1970,61194591
EA19,1970,285508883
DE,1971,61001164
EA19,1971,286798638
DE,1972,61502503
DE,1973,61809358
DE,1974,62101379
DE,1975,61991475
EA19,1975,293874224
DE,1976,61644624
EA19,1976,295212458
DE,1977,61441996
EA19,1977,296348308
DE,1978,61352745
EA19,1978,297555091
DE,1979,61321663
EA19,1979,298772287
DE,1980,61439338
EA19,1980,300026000
DE,1981,61657952
EA19,1981,301426708
DE,1982,61712689
EA19,1982,302419395
DE,1983,61546101
EA19,1983,303140259
DE,1984,61306669
EA19,1984,303600009
DE,1985,61049256
EA19,1985,304049567
DE,1986,61020474
EA19,1986,304640663
DE,1987,61140461
EA19,1987,305452191
DE,1988,61238079
EA19,1988,306227897
DE,1989,61715103
EA19,1989,307433114
DE,1990,62679035
EA19,1990,308841704
DE,1991,79753227
EA19,1991,310262295
FR,1991,58313439
DE,1992,80274564
EA19,1992,311610504
FR,1992,58604851
DE,1993,80974632
EA19,1993,313111944
FR,1993,58885929
DE,1994,81338093
EA19,1994,314121560
FR,1994,59104320
DE,1995,81538603
EA19,1995,314879272
FR,1995,59315139
DE,1996,81817499
EA19,1996,315679276
FR,1996,59522297
DE,1997,82012162
EA19,1997,316448320
FR,1997,59726386
DE,1998,82057379
EA19,1998,318755544
FR,1998,59934884
DE,1999,82037011
EA19,1999,319373924
FR,1999,60158533
DE,2000,82163475
EA19,2000,320375247
FR,2000,60545022
DE,2001,82259540
EA19,2001,321447131
FR,2001,60979315
DE,2002,82440309
EA19,2002,322819636
FR,2002,61424036
DE,2003,82536680
EA19,2003,324573948
FR,2003,61864088
DE,2004,82531671
EA19,2004,326314018
FR,2004,62292241
DE,2005,82500849
EA19,2005,328141448
FR,2005,62772870
DE,2006,82437995
EA19,2006,329684938
FR,2006,63229635
DE,2007,82314906
EA19,2007,331204579
FR,2007,63645065
DE,2008,82217837
EA19,2008,333096775
FR,2008,64007193
DE,2009,82002356
EA19,2009,334470255
FR,2009,64350226
DE,2010,81802257
EA19,2010,335266424
FR,2010,64658856
DE,2011,80222065
EA19,2011,334572589
FR,2011,64978721
DE,2012,80327900
EA19,2012,335288924
FR,2012,65276983
DE,2013,80523746
EA19,2013,336044966
FR,2013,65600350
DE,2014,80767463
EA19,2014,337331059
FR,2014,66165980
DE,2015,81197537
EA19,2015,338062958
FR,2015,66458153
DE,2016,82175684
EA19,2016,339298392
FR,2016,66638391
DE,2017,82521653
EA19,2017,340047730
FR,2017,66809816
DE,2018,82792351
EA19,2018,340779942
FR,2018,67026224
DE,2019,83019213
EA19,2019,341729168
FR,2019,67290471
DE,2020,83166711
EA19,2020,342692171
FR,2020,67473651
DE,2021,83155031
EA19,2021,342806743
FR,2021,67728568
DE,2022,83237124
EA19,2022,343242163
FR,2022,68091703
DE,2023,83118501
EA19,2023,344706979
FR,2023,68277210
DE,2024,83456045
EA19,2024,346312052
FR,2024,68467362
