KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-01,74.13,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-02,74.42,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-03,74.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-04,74.99,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-05,75.19,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-06,75.11,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-07,74.94,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-08,74.78,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-09,75.02,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
ICP.M.FR.N.000000.4.INX,M,FR,N,000000,4,INX,1996-10,75.22,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.INDEX.FR.00.M,,,,2015 = 100,,,2,,"HICP - Overall index""","France - HICP - Overall index, Index, Eurostat, Neither seasonally nor working day adjusted",PURE_NUMB,0
